State,County,Under5yrsPopulation_total ,Under5yrsPopulation_female,t5to17yrsPopulation_total,t5to17yrs_Female,t18to24yearsPopulation,t18to24yrs_Female,t25to34yrs_Population,t25to34years_Female,t35to44yrs_Population,t35to44yrs_Female,t45to64yrs_Population,t45to64yrs_Female,t65to84years_Population,t65to84yrs_Female,t85to99yrs_Population,t85to99yrs_Female,t100_years_and_Over_Population,t100yrs_and_over_Female
Kentucky,Breckinridge County,1238,596,3483,1655,1539,702,2072,998,2421,1198,5671,2845,3673,1896,331,202,4,3
Kentucky,Bullitt County,4714,2319,14495,7004,6437,3101,9883,4966,10500,5328,23244,11829,11961,6291,975,588,8,8
Kentucky,Butler County,753,358,2241,1038,877,437,1353,706,1533,748,3313,1645,2099,1106,202,128,0,0
Kentucky,Caldwell County,679,302,2067,1016,914,472,1421,729,1340,687,3479,1770,2441,1328,300,204,8,5
Kentucky,Calloway County,1826,921,4980,2447,6474,3572,4228,2011,4043,1998,8579,4447,6251,3334,718,463,4,4
Kentucky,Campbell County,5239,2580,14299,7044,9625,4957,13167,6571,11457,5645,23914,12169,13707,7427,1658,1082,10,10
Kentucky,Carlisle County,276,124,830,418,338,158,497,241,553,272,1294,640,909,466,129,83,0,0
Kentucky,Carroll County,671,310,2035,985,864,415,1324,618,1306,684,2833,1389,1599,854,176,116,2,1
Kentucky,Carter County,1504,756,4349,2086,2249,1024,2811,1400,3175,1554,7373,3784,4727,2554,437,277,2,2
Kentucky,Casey County,1016,486,2861,1377,1178,575,1672,886,1864,976,4179,2094,2845,1500,322,224,4,3
Kentucky,Christian County,6364,3115,12706,6139,10578,4076,11721,5571,7640,3901,14419,7503,8329,4588,984,659,7,5
Kentucky,Clark County,2124,1024,6154,2923,2694,1372,4518,2251,4708,2396,10159,5296,5995,3275,614,390,6,4
Kentucky,Clay County,1121,591,3241,1554,1579,738,2585,1136,2883,1266,5597,2700,3073,1621,264,171,2,0
Kentucky,Clinton County,543,268,1612,796,707,339,957,514,980,517,2581,1300,1709,886,164,98,0,0
Kentucky,Crittenden County,487,237,1545,729,618,301,939,457,1039,513,2484,1237,1701,902,167,104,10,10
Kentucky,Cumberland County,346,169,893,434,371,192,581,300,587,297,1705,841,1276,670,126,83,3,3
Kentucky,Daviess County,6396,3104,18414,9002,8847,4314,12883,6447,12487,6214,26083,13422,16115,8852,2074,1394,13,10
Kentucky,Edmonson County,645,317,1978,959,984,466,1304,626,1427,711,3419,1747,2131,1121,231,126,7,7
Kentucky,Elliott County,351,188,1100,520,533,202,923,298,1036,371,2075,895,1207,581,128,91,1,1
Kentucky,Estill County,738,379,2341,1126,1004,495,1528,755,1592,798,4185,2126,2512,1333,259,175,4,4
Kentucky,Fayette County,18525,9166,49549,24381,41892,22410,50221,25094,43033,21566,73327,37744,40900,22869,5056,3417,67,47
Kentucky,Fleming County,935,437,2678,1350,1180,561,1642,839,1721,865,4119,2041,2540,1340,264,166,3,3
Kentucky,Floyd County,1954,946,5949,2814,2488,1219,3958,2030,4598,2332,10299,5380,6164,3313,528,331,4,2
Kentucky,Franklin County,2796,1317,8088,4002,4596,2314,6400,3285,6274,3190,13842,7213,8590,4775,945,614,10,10
Kentucky,Fulton County,333,161,993,484,436,217,834,387,777,373,1755,872,1236,697,149,85,2,2
Kentucky,Gallatin County,552,280,1641,822,686,325,1058,533,977,483,2447,1222,1238,621,86,70,5,3
Kentucky,Garrard County,965,458,2967,1380,1113,513,1774,915,2008,1028,4944,2514,2873,1543,301,182,8,8
Kentucky,Grant County,1675,803,4869,2444,2097,1003,3006,1461,2979,1513,6677,3359,3334,1730,304,188,0,0
Kentucky,Graves County,2358,1173,6523,3172,2885,1371,4196,2140,4180,2127,9423,4793,6355,3398,720,495,9,9
Kentucky,Grayson County,1546,772,4484,2129,2119,1006,3026,1464,3193,1488,7111,3574,4551,2415,390,250,0,0
Kentucky,Green County,650,342,1813,908,777,372,1132,581,1230,612,3166,1599,2075,1122,258,174,6,2
Kentucky,Greenup County,1769,873,6200,2992,2469,1174,3748,1909,4221,2131,9927,5163,6789,3704,830,537,9,6
Kentucky,Hancock County,501,227,1662,773,721,337,982,465,1052,544,2473,1235,1527,770,177,114,0,0
Kentucky,Hardin County,6594,3205,20013,9841,9656,4507,14306,7152,14214,7289,29231,15064,15027,8235,1655,1070,6,5
Kentucky,Harlan County,1438,723,4505,2212,1882,967,3188,1636,3247,1618,7459,3910,4706,2549,400,259,6,4
